A,,,,,,
AB = ,Abs,Ali baba,Abacus,,,
AC = ,Airconditioning,Ace,Acorn,Ac alternating current,,
AD = ,Advertisement,Add,After death,,,
AE = ,American eagle,Aeroplane,,,,
AF = ,Air force,Anne frank,Alf,,,
AG = ,Silver (chemical symbol ag),Agent,Alligator,,,
AH = ,Air horn,Air hockey,Adolf hitler,,,
AI = ,Artificial intelligence,,,,,
AJ = ,Apple juice,Aj person,,,,
AK = ,Ak-47,Animal kingdom,,,,
AL = ,Aluminium,Abraham lincoln,Alien,,,
AM = ,Am (as in time),Ammunition,Ambulance,,,
AN = ,Ant,Aunt,Antenna,,,
AO = ,Aosu,Aolong,,,,
AP = ,App,Apple,Airplane,Access point,Apollo,
AQ = ,Aquarium,Aqua,,,,
AR = ,Augmented reality,Art,Arrow,Arm,,
AS = ,Ash,Adam savage,Ass,,,
AT = ,Atom,Atlas,Atmosphere,,,
AU = ,Gold (chemical symbol au),Australia,,,,
AV = ,Avenue,Audio visual,Uav,,,
AW = ,Awake,,,,,
AX = ,Axe,Axis,,,,
,,,,,,
B,,,,,,
BA = ,British airways,Baa,,,,
BC = ,Before christ,Because,Bicycle,Bill clinton,Bacon,
BD = ,Bed,Body,Bad,,,
BE = ,Bee,,,,,
BF = ,Best friend,Big foot,Boyfriend,Butterfly,,
BG = ,Bag,Bog,,,,
BH = ,Bath,Bad habits,Bee hive,,,
BI = ,Bi,Bird,,,,
BJ = ,Blackjack,Bad job,,,,
BK = ,Book,Bike,Burger king,,,
BL = ,Bell,Ball,Bull,Bale,,
BM = ,Bum,Bad manners,Bomb,,,
BN = ,Bin,Bean,Ban,Bone,,
BO = ,Body odor,Bottle,Boo,,,
BP = ,British petroleum,Backpack,Beep,,,
BQ = ,Barbeque,Be quiet,,,,
BR = ,Bar,Bedroom,Beer,,,
BS = ,Bus,Bass,Boss,,,
BT = ,Boot,Bat,Bet,,,
BU = ,Bulb,,,,,
BV = ,Beaver,,,,,
BW = ,Bow,Black widow,Black & white,,,
BX = ,Box,,,,,
,,,,,,
C,,,,,,
CA = ,Cactus,,,,,
CB = ,Cab,Cob,Cube,,,
CD = ,Cd,Cod,Code,,,
CE = ,Cement,,,,,
CF = ,Calf,Coffee,Cuffs,,,
CG = ,Cage,Cog,,,,
CH = ,Chair,Cheer,,,,
CI = ,Cia,City,,,,
CJ = ,Contact juggling,,,,,
CK = ,Cook,Cake,Cockpit,,,
CL = ,Call,Clown,,,,
CM = ,Centimetre,Comb,Camel,,,
CN = ,Can,Cane,,,,
CO = ,Coke,Cobalt,,,,
CP = ,Cop,Cup,Cap,,,
CQ = ,Croquet,Conquest,,,,
CR = ,Car,Cross,,,,
CS = ,Castle,Chess,Computer science,,,
CT = ,Cat,Cot,Coat,,,
CU = ,Cucumber,,,,,
CV = ,Curriculum vitae,Cave,,,,
CW = ,Crow,Cow,Crew,,,
CX = ,Coaxial cable,,,,,
,,,,,,
D,,,,,,
DA = ,Dad,Day,,,,
DB = ,Database,Double,Dab,,,
DC = ,Dc (washington dc),Battery (dc current),Dice,,,
DE = ,Dea,Deed,,,,
DF = ,Defender,Deaf,,,,
DG = ,Dog,Drug,,,,
DH = ,Dough,Downhill,,,,
DI = ,Die,,,,,
DJ = ,Dj,,,,,
DK = ,Duck,Disk,,,,
DL = ,Dell,Dial,Doll,,,
DM = ,Dam,Dome,,,,
DN = ,Dentist,,,,,
DO = ,Dodo,Do,,,,
DP = ,Deep,Dip,,,,
DQ = ,Disqualified,,,,,
DR = ,Doctor,Door,,,,
DS = ,Nintendo ds,Dose,,,,
DT = ,Dart,Data,Debt,Donald trump,Date,
DU = ,Dud,Duke,Duo,,,
DV = ,Dove,,,,,
DW = ,Dwarf,,,,,
DX = ,Deluxe,,,,,
,,,,,,
E,,,,,,
EA = ,Electronic arts,,,,,
EB = ,Ebay,Eyeball,Easter bunny,,,
EC = ,Eclipse,Eclair,Extra credit,,,
ED = ,Ed,Education,,,,
EF = ,Elf,,,,,
EG = ,Egg,,,,,
EH = ,Eh,,,,,
EI = ,Einstein,,,,,
EJ = ,Eject,,,,,
EK = ,Elk,,,,,
EL = ,Elvis,Eleven,,,,
EM = ,Emperor,Emo,,,,
EN = ,Energy,English,Envelope,,,
EO = ,Edge orientation,,,,,
EP = ,Epilepsy,Edge permutation,,,,
EQ = ,Earthquake,Equation,,,,
ER = ,Ear,Emergency room,,,,
ES = ,Essay,,,,,
ET = ,Eat,Et,,,,
EU = ,European union,,,,,
EV = ,Electric vehicle,,,,,
EW = ,,,,,,
EX = ,Example,,,,,
,,,,,,
F,,,,,,
FA = ,Fat albert,Fifa,,,,
FB = ,Football,Facebook,,,,
FC = ,Face,,,,,
FD = ,Food,,,,,
FE = ,Giant (fee fi fo fum),,,,,
FG = ,Fog,Fag,,,,
FH = ,Fish,Fire hydrant,,,,
FI = ,Fiction,,,,,
FJ = ,Fiji,,,,,
FK = ,Fork,,,,,
FL = ,Fall,,,,,
FM = ,Fm,Foam,Firm,,,
FN = ,Fan,Fin,,,,
FO = ,Fossil,Fool,,,,
FP = ,Flipper,Flap,Face paint,,,
FQ = ,Frequency,,,,,
FR = ,Fur,French,,,,
FS = ,Fire shower,,,,,
FT = ,Foot,Feet,,,,
FU = ,Foo fighters,,,,,
FV = ,Five,,,,,
FW = ,Flower,,,,,
FX = ,Fox,,,,,
,,,,,,
G,,,,,,
GA = ,Gamble,Gag,,,,
GB = ,Great britain,Gameboy,,,,
GC = ,Gold crown,Gamecube,,,,
GD = ,God,,,,,
GE = ,General electric,,,,,
GF = ,Girlfriend,,,,,
GH = ,Green house,,,,,
GI = ,G.i. (former army),,,,,
GJ = ,Grape juice,Good job,,,,
GK = ,Greek,,,,,
GL = ,Gel,Goal,,,,
GM = ,Gum,Grand master,,,,
GN = ,Gun,Gin,Gan,,,
GO = ,Goo,Gorilla,,,,
GP = ,Gp doctor,Gap,,,,
GQ = ,,,,,,
GR = ,Gary,,,,,
GS = ,Gas,Goose,,,,
GT = ,Gate,Gt racing,,,,
GU = ,Guitar,,,,,
GV = ,Grave,Gavin,,,,
GW = ,George washington,Glow,Grow,,,
GX = ,Galaxy,,,,,
,,,,,,
H,,,,,,
HA = ,Harp,Ha ha!,,,,
HB = ,Hb (icecream),Hobbit,,,,
HC = ,Helicopter,Hardcore,,,,
HD = ,High definition (resolution),Head,Hard,,,
HE = ,He (man),Helium,,,,
HF = ,Half,Huff,,,,
HG = ,Hang,Hug,,,,
HI = ,Hi (greeting),Hippo,,,,
HJ = ,Hedge,High jump,,,,
HK = ,Hiker,Hook,,,,
HL = ,Hall,Hole,Heel,Hell,,
HM = ,Hammer,Home,,,,
HN = ,Hen,Honey,,,,
HO = ,"Santa's voice (""ho-ho-ho"")",,,,,
HP = ,Hp (computer),,,,,
HQ = ,Headquarters,,,,,
HR = ,Human resources,Hair,,,,
HS = ,Hose,,,,,
HT = ,Hat,Hut,,,,
HU = ,Huh (being surprised),Hummus,,,,
HV = ,Heaven,,,,,
HW = ,Home work,Hardware,,,,
HX = ,Hex,Hexagon,,,,
,,,,,,
I,,,,,,
IA = ,,,,,,
IB = ,Ice breakers,I-beam,,,,
IC = ,Ice,Ice cream,,,,
ID = ,Id (identification),,,,,
IE = ,.ie,Internet explorer,,,,
IF = ,Eiffel tower,If,,,,
IG = ,Instagram,Igloo,,,,
IH = ,Incredible hulk,,,,,
IJ = ,Indiana jones,Injured,,,,
IK = ,Ink,,,,,
IL = ,Ill (sick),,,,,
IM = ,Instant messenger,Iron man,,,,
IN = ,Inn,Indian,,,,
IO = ,Io (input/output),Io (moon),,,,
IP = ,Ip address,Ipod,,,,
IQ = ,Iq (intelligence),,,,,
IR = ,Infrared,Iron,,,,
IS = ,Isis,Iss,,,,
IT = ,Information technology,It (clown),,,,
IU = ,Icu,,,,,
IV = ,Ivy,I.v. (thing in hospitals),,,,
IW = ,Ice water,iwatch,,,,
IX = ,Index,,,,,
,,,,,,
J,,,,,,
JA = ,Jaws,Jaguar,,,,
JB = ,Job,James bond,,,,
JC = ,Jesus christ,,,,,
JD = ,Jd sports,,,,,
JE = ,Joey,Jeans,,,,
JF = ,Jif,J.f.k,Jeff,,,
JG = ,Jug,Jogger,,,,
JH = ,Jackhammer,,,,,
JI = ,Jitter,,,,,
JK = ,Joke,John kelleher,,,,
JL = ,Jail,,,,,
JM = ,Jam,,,,,
JN = ,Jon,Jeans,,,,
JO = ,Jell-o,,,,,
JP = ,Jeep,Jurassic park,,,,
JQ = ,,,,,,
JR = ,Jar,,,,,
JS = ,Jess,,,,,
JT = ,Jet,,,,,
JU = ,Judge,Juggle,,,,
JV = ,Java,Javascript,,,,
JW = ,Jaws,,,,,
JX = ,Jax,Jocks,,,,
,,,,,,
K,,,,,,
KA = ,Kangaroo,,,,,
KB = ,Kilobyte,Keyboard,Kebab,,,
KC = ,Kc (name),,,,,
KD = ,Kid,,,,,
KE = ,Key,,,,,
KF = ,Kingfisher,,,,,
KG = ,King,,,,,
KH = ,Keyhole,,,,,
KI = ,Kia,Kite,,,,
KJ = ,Kilojoules,Kim jong un,,,,
KL = ,Kill,,,,,
KM = ,Kilometer,,,,,
KN = ,Ken (barbie),Knife,,,,
KO = ,Knockout (a boxer),,,,,
KP = ,Keep,,,,,
KQ = ,King/queen (chess pieces),,,,,
KR = ,Kryptonite,,,,,
KS = ,ksi,Kiss,,,,
KT = ,Kit,Kite,Kitten,,,
KU = ,Ku (ok you),,,,,
KV = ,Kevin (kevin hays),,,,,
KW = ,Kiwi,Killer whale,,,,
KX = ,,,,,,
,,,,,,
L,,,,,,
LA = ,Los angeles,Lamp,,,,
LB = ,Lab,Lightbulb,,,,
LC = ,Laces,,,,,
LD = ,Lid,Lead,Ladder,,,
LE = ,Lee,Leap,,,,
LF = ,Leaf,,,,,
LG = ,Leg,Log,Lego,,,
LH = ,Light house,,,,,
LI = ,Lie,,,,,
LJ = ,Life jacket,Lumberjack,Long jump,,,
LK = ,Lick,,,,,
LM = ,Lamb,,,,,
LN = ,Lion,Lantern,Ln (logarithm),Loony tunes,,
LO = ,Limo,London,,,,
LP = ,Loop,Lip,Leap,Lap,,
LQ = ,Liquor,,,,,
LR = ,Laser,Lure,,,,
LS = ,Linus sebastian,Lose,,,,
LT = ,Loot,Lottery,,,,
LU = ,Lunch,Lube,,,,
LV = ,Lava,Love,,,,
LW = ,Lawn,Law,Lawyer,,,
LX = ,Lexus,,,,,
,,,,,,
M,,,,,,
MA = ,Ma,,,,,
MB = ,Mob,Mercedes benz,,,,
MC = ,Microphone,Minecraft,Mace,,,
MD = ,Mad,Mud,Maid,,,
ME = ,Me,,,,,
MF = ,Muffin,,,,,
MG = ,Magnet,Magazine,,,,
MH = ,Manhole,,,,,
MI = ,Mi5,Mission impossible,,,,
MJ = ,Michael jackson,,,,,
MK = ,Monkey,Makeup,,,,
ML = ,Mall,Mill,,,,
MN = ,Moon,Man,,,,
MO = ,Mom,,,,,
MP = ,Map,Mop,,,,
MQ = ,Lightning mcqueen (cars),Messaging queue,Mannequin,,,
MR = ,Mirror,Mars,More,,,
MS = ,Microsoft,Mouse,Moss,,,
MT = ,Mountain,Matt,,,,
MU = ,Muscle,Mustard,Mule,,,
MV = ,Movie,Move,,,,
MW = ,Mow,Meow,,,,
MX = ,Max,Mix,,,,
,,,,,,
N,,,,,,
NA = ,North america,N/a,,,,
NB = ,Notebook,,,,,
NC = ,North carolina,Nacho,No change,,,
ND = ,Needle,,,,,
NE = ,Knee,Neo,,,,
NF = ,Nerf,Niagara falls,,,,
NG = ,Nugget,Natural gas,,,,
NH = ,Noah,Nursing home,Northern hemisphere,,,
NI = ,Nicotine,Nickle,,,,
NJ = ,Ninja,,,,,
NK = ,Nuke,Neck,Nike,North korea,Nick,
NL = ,Nail,Night light,,,,
NM = ,Name,Nemo,,,,
NO = ,No,,,,,
NP = ,Nap,North pole,Nipple,No problem,,
NQ = ,Nasdaq,,,,,
NR = ,Nerd,National record,Nero,,,
NS = ,Noose,Nintendo switch,,,,
NT = ,Net,Nut,,,,
NU = ,Nun,,,,,
NV = ,Navy,Nova,,,,
NW = ,News,Northwest,Nuclear warfare,Natwest,Narwhal,
NX = ,Nixon,Next,Nexus,,,
,,,,,,
O,,,,,,
OA = ,Oatmeal,Oar,,,,
OB = ,Obama,,,,,
OC = ,Ocean,Octopus,,,,
OD = ,Overdose,Old,One direction band,,,
OE = ,Optical effect,One,,,,
OF = ,Office,Off,,,,
OG = ,Original,,,,,
OH = ,One hand,,,,,
OI = ,Oi (exclamation),,,,,
OJ = ,Orange juice,Oj simpson,,,,
OK = ,Okay (thumbs up),,,,,
OL = ,Olive,,,,,
OM = ,Ohm,,,,,
ON = ,On,Onion,,,,
OP = ,Over powered,Opera,,,,
OQ = ,Old quill (feather pen),,,,,
OR = ,Oar,Or,,,,
OS = ,Operating system,Ostrich,,,,
OT = ,Otter,Overtime,,,,
OU = ,Ouch,Overused,,,,
OV = ,Oven,Orbital vehicle,,,,
OW = ,Owl,,,,,
OX = ,Ox,Oxen,,,,
,,,,,,
P,,,,,,
PA = ,Paper,Papa,,,,
PB = ,Polar bear,Personal best,Lead (symbol pb),Peanut butter,,
PC = ,Pc (personal computer),Popcorn,Peacock,,,
PD = ,Pond,Panda,Pad,Pod,Pudding,
PE = ,Pe (physical education),Pee,,,,
PF = ,Perfume,Puff,Perfect,,,
PG = ,Pig,Pg rating,,,,
PH = ,Ph (scale),Phone,,,,
PI = ,Pie,,,,,
PJ = ,Pjs (pyjamas),Pj (name/nickname),,,,
PK = ,Pike,Puke,Puck,,,
PL = ,Pole,Play,,,,
PM = ,Pram,Pom poms,,,,
PN = ,Pan,Pen,Penny,,,
PO = ,Post office,Poop,,,,
PQ = ,Pop quiz,,,,,
PR = ,Pr (public relations),Poor,Pear,,,
PS = ,Photoshop,Playstation,Pass,,,
PT = ,Pet,Pt (personal trainer),,,,
PU = ,Puppy,Puma,,,,
PV = ,Pavement,,,,,
PW = ,Paw,Power,,,,
PX = ,Pixel,,,,,
,,,,,,
Q,,,,,,
QA = ,Q&a (question and answer),,,,,
QB = ,Quarterback,,,,,
QC = ,Quick,,,,,
QD = ,Quid,Quarter deck,,,,
QE = ,Queen elizabeth,Queen of england,,,,
QF = ,Quarterfinals,,,,,
QG = ,Quagmire,,,,,
QH = ,Quahog,Quiche,,,,
QI = ,Quiet,,,,,
QJ = ,Squeegee,,,,,
QK = ,Quack (duck),Quick,Quark,,,
QL = ,Qualify,Quail ,Quill,,,
QM = ,Quantum mechanics,,,,,
QN = ,Queen,,,,,
QO = ,Quote,Quotient,,,,
QP = ,Quarter pounder,,,,,
QR = ,Qr code,Qatar,,,,
QS = ,Quicksand,Quest,,,,
QT = ,Quit,Quarantine,,,,
QU = ,Queue (line),Quarry,,,,
QV = ,Quiver,,,,,
QW = ,Qwerty keyboard,Quality of water (murky water),,,,
QX = ,Qix (old coin op game),Quality of experience,,,,
,,,,,,
R,,,,,,
RA = ,Ray (light ray),,,,,
RB = ,Rugby,Root beer,Rub,Robot,,
RC = ,Race (car),Rice,Rubik's cube,,,
RD = ,Road,Rod,Rude,,,
RE = ,Red,Remote,,,,
RF = ,Referee,Roof,,,,
RG = ,Rag,Rag,,,,
RH = ,Rhino,Right hand,,,,
RI = ,Rig,,,,,
RJ = ,Rejection,Rj45 (ethernet cable),,,,
RK = ,Rake,Rack,Rock,,,
RL = ,Rail,Roll,,,,
RM = ,Ram,Rome,Rum,Rim,,
RN = ,Rain,Run,,,,
RO = ,Rook (chess piece),Roux,,,,
RP = ,Rope,Rip,,,,
RQ = ,Request,,,,,
RS = ,Rust (language),Rust (metal),Rose,Rest,,
RT = ,Rat,Rot,,,,
RU = ,Roulette,Ruby,,,,
RV = ,Rv (toy vehicle),Raven,Rover,,,
RW = ,Row,Raw,,,,
RX = ,Rex (toy story),T-rex,,,,
,,,,,,
S,,,,,,
SA = ,Satellite,South america,,,,
SB = ,Submarine,Sob,Sibling,,,
SC = ,Soccer,Scorpion,,,,
SD = ,Sd card,Shed,Seed,Soda,Sand,Salad
SE = ,Sea,Seesaw,,,,
SF = ,Surf,Soft,Safe,,,
SG = ,Segway,Signature,Sag,Soggy,,
SH = ,Shake,Shhh (expression),Ship,Sheep,Shop,
SI = ,Sigh,Silicone,,,,
SJ = ,Steve jobs,Social justice,,,,
SK = ,Sick,Sack,Skeleton,Sock,,
SL = ,Seal,Sail,Sly,,,
SM = ,Smoke,Smyths,Sum,Sims,,
SN = ,Sun,Son,Snow,Snail,,
SO = ,Significant other,,,,,
SP = ,Soap,Spaghetti,Sap,Sop,Sip,
SQ = ,Squirrel,Square-1,,,,
SR = ,Sir,Star,Senior,Steer,,
ST = ,Street,Sit,Statue,Santa,,
SU = ,Sue (action or person),Super,,,,
SV = ,Save,Seven,,,,
SW = ,Saw,Swan,Subway,Sweet,Swiss,Swing
SX = ,Saxophone,,,,,
,,,,,,
T,,,,,,
TA = ,Tattoo,Taco,Taste,,,
TB = ,Tab,Table,Tube,Tub,,
TC = ,Tic,Tic tac,,,,
TD = ,Toad,Teddy bear,Ted,Tod,,
TE = ,Tee (snooker),Tea,,,,
TF = ,Transformer (electricity),Tough,,,,
TG = ,Tag,Tiger,Trigger,Tug,,
TH = ,Tooth,Town hall,Thought,,,
TI = ,Tie (clothes),Tie (knot),Tie (draw),,,
TJ = ,Tj (sheenan),Thomas jefferson,,,,
TK = ,Truck,Tick (bug),Take,,,
TL = ,Tall,Toll,Till,Troll,Tell,
TM = ,Trademark,,,,,
TN = ,Tin,Train,Tan,Ten,,
TO = ,Toe,To,,,,
TP = ,Tip,Toilet paper,Tap,Tp (native americans tents),Top,
TQ = ,Tequila (alcoholic drinks),,,,,
TR = ,Tree,Tire,Trap,,,
TS = ,Toast,Taser,,,,
TU = ,Tutorial,,,,,
TV = ,Televison,,,,,
TW = ,Tow truck,Tower,Towel,,,
TX = ,Tax,Texas,,,,
,,,,,,
U,,,,,,
UA = ,Underarmor,,,,,
UB = ,U-boat,Umbrella,,,,
UC = ,Unicorn,Ucc (college),Unicycle,,,
UD = ,udder (cows),Under,,,,
UE = ,Ukelele (instrument),Unending,,,,
UF = ,Ufo,,,,,
UG = ,Ugly,,,,,
UH = ,U-haul (trucks),Uhh (expression),,,,
UI = ,User interface,Unicycle,,,,
UJ = ,Union jack,U jump,,,,
UK = ,Ukraine,United kingdom,,,,
UL = ,Unlucky,Unlock,,,,
UM = ,Umbrella,,,,,
UN = ,Uno (card game),University,,,,
UO = ,Uh-oh (expression),Unpopular opinion,,,,
UP = ,UPS truck,,,,,
UQ = ,Unqualified,Ultra quick,,,,
UR = ,Your,You are,,,,
US = ,United states,Uncle sam,Use,,,
UT = ,Undertaker,Utter,,,,
UV = ,Ultra-violet,,,,,
UW = ,Under water,,,,,
UX = ,Unix,User experience,,,,
,,,,,,
V,,,,,,
VA = ,Voice actor,,,,,
VB = ,Volleyball,vibes,,,,
VC = ,Venture capital,Vacuum,,,,
VD = ,Video,,,,,
VE = ,Venmo,,,,,
VF = ,Venus flytrap,,,,,
VG = ,Vegas,Vegetables,,,,
VH = ,Vehicle,,,,,
VI = ,Visa,,,,,
VJ = ,Vertical jump,,,,,
VK = ,Viking,,,,,
VL = ,Vial (medicines container),Vlad,,,,
VM = ,Vampire,Virtual machine,,,,
VN = ,Van,Violin,,,,
VO = ,Volcano,,,,,
VP = ,Vape,,,,,
VQ = ,Ventriloquist,,,,,
VR = ,Virtual reality,,,,,
VS = ,Vase,,,,,
VT = ,Vet,Vat,Vault,Vote,,
VU = ,Vulture,,,,,
VW = ,Volkswagen,,,,,
VX = ,vox,,,,,
,,,,,,
W,,,,,,
WA = ,Whale,,,,,
WB = ,Web,Warner bros,Warren buffett,,,
WC = ,World cup,Water closet,,,,
WD = ,Wood,Weld,,,,
WE = ,Weed,,,,,
WF = ,Waffle,Water fall,,,,
WG = ,wagon,Wig,Wag,,,
WH = ,Wheat,Whip,,,,
WI = ,Wine,,,,,
WJ = ,Waterjet,,,,,
WK = ,Wikipedia,Wake up,,,,
WL = ,Wall,Wool,Well,Will,,
WM = ,Worm,Watermelon,Wal-mart,Wombat,,
WN = ,Won,Win,,,,
WO = ,Wolf,Woo (expression),,,,
WP = ,Weapons,Weep,Whip,,,
WQ = ,Wicker,,,,,
WR = ,War,World record,,,,
WS = ,Wish,Washington post,,,,
WT = ,Waiter,Water,Water tower,,,
WU = ,Wake up,,,,,
WV = ,Wave,Weaver,Winter variation,,,
WX = ,Wax,,,,,
,,,,,,
X,,,,,,
XA = ,Exam,Examine,,,,
XB = ,X-box,,,,,
XC = ,X-cross,,,,,
XD = ,Exceed,,,,,
XE = ,Electric eel,Xeon(cpu),,,,
XF = ,,,,,,
XG = ,Oxygen,Exaggerate,,,,
XH = ,Exhale,,,,,
XI = ,Excite,Xi jinping,(xi) eleven,,,
XJ = ,Extra judgemental,,,,,
XK = ,Textbook,,,,,
XL = ,Extra large,,,,,
XM = ,X-mas,X-man,Exam,,,
XN = ,,,,,,
XO = ,Xs and os,Exoskeleton,,,,
XP = ,Windows xp,,,,,
XQ = ,Exquisite,Xqc,,,,
XR = ,X-ray,X rating,,,,
XS = ,Iphone xs,Excess,Gan 356 xs,,,
XT = ,Exit,Extra,,,,
XU = ,,,,,,
XV = ,Xv ( number 15 ),,,,,
XW = ,X-wing (star wars),,,,,
